OVG;motief11;hfdvm2;waarde_modal_split;verplaatsingen;MeetType;DagType
71;diensten (bv. dokter, bank);anders;0,00158417378066641;19;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);autobestuurder;0,0741350653311188;1630;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);autopassagier +18;0,0189518111179137;364;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);autopassagier -18;0,00805313248122822;178;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);brom-/snorfiets of motor;0,000705808532355979;11;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);elektrische fiets;0,0107715032408372;245;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);elektrische step/monowheel/hoverboard;0,000149957099084831;4;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);lijnbus;0,00263236777645282;54;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);metro;5,57262202446531e-05;2;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);niet-elektrische fiets;0,0118358930495058;252;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);speed pedelec;0,000766523351638832;12;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);taxi of vergelijkbaar;8,59459927009363e-05;2;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);te voet;0,017304981752133;371;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);tram;0,000813048805581204;12;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);trein;0,000536668484039388;19;in aantal verplaatsingen per dag;alle dagen
71;geen antwoord;autobestuurder;0,000885071628944697;20;in aantal verplaatsingen per dag;alle dagen
71;geen antwoord;autopassagier +18;0,000283700369391713;8;in aantal verplaatsingen per dag;alle dagen
71;geen antwoord;elektrische fiets;0,000251628639399189;3;in aantal verplaatsingen per dag;alle dagen
71;geen antwoord;elektrische step/monowheel/hoverboard;5,67578191953027e-05;1;in aantal verplaatsingen per dag;alle dagen
71;geen antwoord;lijnbus;3,01476121604272e-05;1;in aantal verplaatsingen per dag;alle dagen
71;geen antwoord;niet-elektrische fiets;8,87959966372072e-05;3;in aantal verplaatsingen per dag;alle dagen
71;geen antwoord;te voet;0,000701164019934325;15;in aantal verplaatsingen per dag;alle dagen
71;geen antwoord;trein;1,55526971165238e-05;1;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;anders;0,000938905598047007;18;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;autobestuurder;0,156624367977977;3098;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;autopassagier +18;0,0467039507268163;941;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;autopassagier -18;0,0276037947372122;624;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;brom-/snorfiets of motor;0,00137920774745342;23;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;elektrische fiets;0,0236617082733408;476;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;elektrische step/monowheel/hoverboard;0,00047653884941125;6;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;lijnbus;0,00403134604094329;77;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;metro;0,000131546848697764;3;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;niet-elektrische fiets;0,0303168367475412;649;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;speed pedelec;0,0007956501558117;14;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;taxi of vergelijkbaar;8,96798325694874e-05;4;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;te voet;0,0364430239069606;792;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;tram;0,00310217894866705;42;in aantal verplaatsingen per dag;alle dagen
71;iemand bezoeken;trein;0,00380970125906942;93;in aantal verplaatsingen per dag;alle dagen
71;iets anders;anders;0,00138327519071317;23;in aantal verplaatsingen per dag;alle dagen
71;iets anders;autobestuurder;0,0549160755920285;1092;in aantal verplaatsingen per dag;alle dagen
71;iets anders;autopassagier +18;0,0179454259225598;373;in aantal verplaatsingen per dag;alle dagen
71;iets anders;autopassagier -18;0,00815055263552225;197;in aantal verplaatsingen per dag;alle dagen
71;iets anders;brom-/snorfiets of motor;8,84494675859311e-05;2;in aantal verplaatsingen per dag;alle dagen
71;iets anders;elektrische fiets;0,00808090975131255;160;in aantal verplaatsingen per dag;alle dagen
71;iets anders;elektrische step/monowheel/hoverboard;0,000203268519168627;3;in aantal verplaatsingen per dag;alle dagen
71;iets anders;lijnbus;0,00578059348391804;116;in aantal verplaatsingen per dag;alle dagen
71;iets anders;metro;0,000130298610526193;2;in aantal verplaatsingen per dag;alle dagen
71;iets anders;niet-elektrische fiets;0,0125511533019603;257;in aantal verplaatsingen per dag;alle dagen
71;iets anders;speed pedelec;0,00111323334969704;19;in aantal verplaatsingen per dag;alle dagen
71;iets anders;taxi of vergelijkbaar;0,000137883075594754;4;in aantal verplaatsingen per dag;alle dagen
71;iets anders;te voet;0,0246296556757277;520;in aantal verplaatsingen per dag;alle dagen
71;iets anders;tram;0,00106634119368449;23;in aantal verplaatsingen per dag;alle dagen
71;iets anders;trein;0,00782239125298033;166;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;anders;0,0011334912297209;21;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;autobestuurder;0,280932774018462;5596;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;autopassagier +18;0,0250509153832559;540;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;autopassagier -18;0,0119890230227337;296;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;brom-/snorfiets of motor;0,00165401507338712;18;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;elektrische fiets;0,0243617436626102;533;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;elektrische step/monowheel/hoverboard;0,00011239974821363;2;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;lijnbus;0,00244980561710152;43;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;niet-elektrische fiets;0,0237648396649241;479;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;speed pedelec;0,000530673234091891;17;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;taxi of vergelijkbaar;0,000124350732775842;3;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;te voet;0,0394705851947777;806;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;tram;0,000914864590746827;9;in aantal verplaatsingen per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;trein;0,00108627631225839;25;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;anders;0,0022711170272181;52;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;autobestuurder;0,0120977740368654;257;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;autopassagier +18;0,00499000912031261;84;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;autopassagier -18;0,0442318215895625;1098;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;brom-/snorfiets of motor;0,00137696909449752;35;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;elektrische fiets;0,00972425218568162;215;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;elektrische step/monowheel/hoverboard;0,00059545643106084;11;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;lijnbus;0,0256887805231599;566;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;metro;0,000663594603490586;10;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;niet-elektrische fiets;0,0716986439805254;1640;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;speed pedelec;0,000579518116645012;12;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;taxi of vergelijkbaar;0,000107676345238453;2;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;te voet;0,0360116187459526;815;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;tram;0,00423877322939121;66;in aantal verplaatsingen per dag;alle dagen
71;onderwijs volgen;trein;0,0122184406487296;279;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;anders;0,00304949704585004;63;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;autobestuurder;0,164988146846035;3333;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;autopassagier +18;0,0696457072789554;1345;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;autopassagier -18;0,0693210430945231;1589;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;brom-/snorfiets of motor;0,00161595208614705;31;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;elektrische fiets;0,0315360666491012;660;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;elektrische step/monowheel/hoverboard;0,000643702316476654;15;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;lijnbus;0,00812191329613676;171;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;metro;0,000269998404311277;10;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;niet-elektrische fiets;0,0707237117299396;1459;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;speed pedelec;0,00172271828906744;37;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;taxi of vergelijkbaar;0,00152169168851905;20;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;te voet;0,0736801098713033;1594;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;tram;0,006217196617034;94;in aantal verplaatsingen per dag;alle dagen
71;ontspanning, sport, cultuur;trein;0,0086219522729804;176;in aantal verplaatsingen per dag;alle dagen
71;wandelen, rondrijden, joggen;anders;0,00118549113534384;26;in aantal verplaatsingen per dag;alle dagen
71;wandelen, rondrijden, joggen;autobestuurder;0,0217109472257025;478;in aantal verplaatsingen per dag;alle dagen
71;wandelen, rondrijden, joggen;autopassagier +18;0,0102345577591376;193;in aantal verplaatsingen per dag;alle dagen
